,n_qubits,n_layers,seed,gate_train_loss,gate_acc_train,gate_acc_test,gate_lr,mixed_train_loss,mixed_acc_train,mixed_acc_test,mixed_lr,dataset,p
254,2,20,1,0.2498529573144251,0.52,0.56,0.0497327592224577,0.2494842396052402,0.52,0.56,0.0007595116217197,digits_08,0.3
269,2,20,1,0.2499410597258499,0.52,0.56,0.0455389521111633,0.2498122208405442,0.52,0.56,0.001834458794979,digits_08,0.3
1,2,20,2,0.157392159614108,0.9066666666666666,0.56,0.0205827129932186,0.115989769468787,0.9033333333333332,0.61,0.0001531368907327,digits_08,0.0
10,2,20,2,0.157392159614108,0.9066666666666666,0.56,0.0205827129932186,0.115989769468787,0.9033333333333332,0.61,0.0001531368907327,digits_08,0.0
27,2,20,2,0.2448704593692629,0.73,0.55,0.0497929526521942,0.2274139518801705,0.85,0.61,0.0002358588405717,digits_08,0.03
34,2,20,2,0.2448704593692629,0.73,0.55,0.0497929526521942,0.2274139518801705,0.85,0.61,0.0002358588405717,digits_08,0.03
51,2,20,2,0.2480069633345937,0.67,0.55,0.0298307115817562,0.2430757580038267,0.8233333333333334,0.8,0.000170051177503,digits_08,0.06
58,2,20,2,0.2480069633345937,0.67,0.55,0.0298307115817562,0.2430757580038267,0.8233333333333334,0.8,0.000170051177503,digits_08,0.06
76,2,20,2,0.2487931300514558,0.6,0.51,0.0448801201017477,0.2467526427665584,0.79,0.8,0.0002464014223666,digits_08,0.09
83,2,20,2,0.2487931300514558,0.6,0.51,0.0448801201017477,0.2467526427665584,0.79,0.8,0.0002464014223666,digits_08,0.09
101,2,20,2,0.2491555279146635,0.5366666666666666,0.55,0.0447263733037952,0.2480401543826248,0.8066666666666666,0.79,0.0002958874728018,digits_08,0.12
108,2,20,2,0.2491555279146635,0.5366666666666666,0.55,0.0447263733037952,0.2480401543826248,0.8066666666666666,0.79,0.0002958874728018,digits_08,0.12
126,2,20,2,0.2493795414045707,0.5366666666666666,0.55,0.0451373428629854,0.2487634705577951,0.7933333333333333,0.77,0.0005177854947115,digits_08,0.15
133,2,20,2,0.2493795414045707,0.5366666666666666,0.55,0.0451373428629854,0.2487634705577951,0.7933333333333333,0.77,0.0005177854947115,digits_08,0.15
150,2,20,2,0.2495364521306447,0.5366666666666666,0.55,0.0449368564105408,0.2491180003847339,0.77,0.81,0.0006909558613511,digits_08,0.18
157,2,20,2,0.2495364521306447,0.5366666666666666,0.55,0.0449368564105408,0.2491180003847339,0.77,0.81,0.0006909558613511,digits_08,0.18
174,2,20,2,0.2496979998909577,0.5366666666666666,0.55,0.0496853746181091,0.249366661785883,0.6466666666666666,0.79,0.0006923090301286,digits_08,0.21
182,2,20,2,0.2496979998909577,0.5366666666666666,0.55,0.0496853746181091,0.249366661785883,0.6466666666666666,0.79,0.0006923090301286,digits_08,0.21
198,2,20,2,0.2497601238680711,0.5366666666666666,0.55,0.0490942692782549,0.2495502488689676,0.56,0.61,0.0006871099507768,digits_08,0.24
206,2,20,2,0.2497601238680711,0.5366666666666666,0.55,0.0490942692782549,0.2495502488689676,0.56,0.61,0.0006871099507768,digits_08,0.24
223,2,20,2,0.2497952782235742,0.5366666666666666,0.55,0.0497973527492573,0.2496877588171602,0.5366666666666666,0.55,0.0007334264196962,digits_08,0.27
231,2,20,2,0.2497952782235742,0.5366666666666666,0.55,0.0497973527492573,0.2496877588171602,0.5366666666666666,0.55,0.0007334264196962,digits_08,0.27
247,2,20,2,0.2498224430338024,0.5366666666666666,0.55,0.0491443866606338,0.2497920984530841,0.5366666666666666,0.55,0.0007245951506917,digits_08,0.3
255,2,20,2,0.2498224430338024,0.5366666666666666,0.55,0.0491443866606338,0.2497920984530841,0.5366666666666666,0.55,0.0007245951506917,digits_08,0.3
5,2,20,3,0.376405938826411,0.6033333333333334,0.5900000000000001,0.0229703673452722,0.491386336066367,0.6333333333333333,0.84,0.0001299356474394,digits_08,0.0
