"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"50","331.52724618308184","60.088033009266475","4.4577591767077775","-0.3137510834931671","0.005099999999999993","0.0052","0.0050000000000000044","1244.4444444444443","0.00019995080274329678","0","0.00019995080274329678","0.00019995080274329678","50_51:0.009703170579792086;50_49:0.010866295331602022","50_51:561.7777777777777;50_49:561.7777777777777","true"
"51","370.1332572886087","87.30133584926297","4.5651681299768265","-0.2968087163341602","0.059800000000000075","0.05940000000000001","0.0602","1244.4444444444443","0.00021886456473465293","0","0.00021886456473465293","0.00021886456473465293","","","true"
"52","285.41408052293576","29.60237909928668","4.444118896746625","-0.2854962354743173","0.1169","0.13160000000000005","0.1022","1244.4444444444443","0.0007595148985042001","0","0.0007595148985042001","0.0007595148985042001","","","true"
"53","346.47642014567117","544.0286929994304","4.622001367058579","-0.3089157779566661","0.005800000000000027","0.008000000000000007","0.0036","1244.4444444444443","0.00013335688532720185","0","0.00013335688532720185","0.00013335688532720185","53_60:0.00327364110960493;53_41:0.004262173475858333","53_60:561.7777777777777;53_41:561.7777777777777","true"
"54","312.3917556112803","20.064256612848602","4.501310389256279","-0.31299719319013514","0.01859999999999995","0.0252","0.01200000000000001","1244.4444444444443","0.0005471090606463772","0","0.0005471090606463772","0.0005471090606463772","54_45:0.01170420355496532;54_64:0.012476343005678625","54_45:561.7777777777777;54_64:561.7777777777777","true"
"55","377.6649859350099","30.78141961099453","4.686301915136873","-0.3100668699291798","0.060546875","0.017578125","0.103515625","1244.4444444444443","0.00017983744514147386","0","0.00017983744514147386","0.00017983744514147386","55_49:0.01041550153686277","55_49:561.7777777777777","true"
"56","174.62185735560254","179.64168895005344","4.553682820707529","0","0.0034000000000000696","0.0056","0.0011999999999999789","1244.4444444444443","0.001096563294703086","0","0.001096563294703086","0.001096563294703086","56_52:0.013966297535411426","56_52:561.7777777777777","true"
"57","122.41452030521481","30.624791501734325","4.639604599272028","-0.3110258364070089","0.007800000000000029","0.014800000000000035","0.0008","1244.4444444444443","0.0014770311054911657","0","0.0014770311054911657","0.0014770311054911657","57_58:0.031008119457014344;57_56:0.024732800723822113","57_58:561.7777777777777;57_56:561.7777777777777","true"
"58","188.01576711442584","33.72546670085645","4.609458805807699","-0.3120232272887944","0.0050000000000000044","0.0066","0.0033999999999999586","1244.4444444444443","0.0005214507458197378","0","0.0005214507458197378","0.0005214507458197378","58_59:0.01135593397477444;58_71:0.0170853387921944","58_59:561.7777777777777;58_71:561.7777777777777","true"
"59","309.6705123770892","86.1082557046408","4.769982908787433","-0.3055632788590134","0.0039000000000000146","0.00660000000000005","0.0012","1244.4444444444443","0.0002562083328141915","0","0.0002562083328141915","0.0002562083328141915","59_60:0.0126360128641968","59_60:561.7777777777777","true"
"60","392.20034189882773","499.6386123499066","4.517585839694588","-0.3130252570847025","0.005900000000000016","0.0044","0.007399999999999962","1244.4444444444443","0.00013636610725082914","0","0.00013636610725082914","0.00013636610725082914","60_61:0.007569539226715327","60_61:561.7777777777777","true"
"61","348.2126936464374","148.13328202138604","4.689238003717748","0","0.009400000000000075","0.008600000000000052","0.0102","1244.4444444444443","0.00025237022977431044","0","0.00025237022977431044","0.00025237022977431044","61_62:0.007769947448472175","61_62:561.7777777777777","true"
"62","250.43213417365004","23.004653340213498","4.64672010466","-0.2863049460361145","0.023400000000000087","0.02180000000000004","0.025","1244.4444444444443","0.0007288279329569722","0","0.0007288279329569722","0.0007288279329569722","","","true"
"63","297.03003699080347","166.2500695889797","4.507479203158013","-0.32264290979581867","0.0021999999999999797","0.0040000000000000036","0.0004","1244.4444444444443","0.0003038925094502585","0","0.0003038925094502585","0.0003038925094502585","63_62:0.011742153110203712;63_64:0.008241709704348454","63_62:561.7777777777777;63_64:561.7777777777777","true"
"64","178.062359840182","30.667395249342597","4.463130814606745","0","0.006000000000000005","0.0092","0.0028000000000000247","1244.4444444444443","0.00045005577508443114","0","0.00045005577508443114","0.00045005577508443114","64_65:0.022275940716825787","64_65:561.7777777777777","true"
"65","248.30260498893918","297.638583378935","4.615255084864932","-0.31101251617313946","0.0016000000000000458","0.0028000000000000247","0.0004","1244.4444444444443","0.0001950298914677764","0","0.0001950298914677764","0.0001950298914677764","","","true"
"66","259.52895940606425","50.305534411059305","4.650390342927852","-0.29034076699160294","0.030399999999999983","0.0472","0.013599999999999945","1244.4444444444443","0.00798833289409719","0","0.00798833289409719","0.00798833289409719","66_65:0.0386468866212997;66_67:0.020284148869092106","66_65:561.7777777777777;66_67:561.7777777777777","true"
"67","199.20096654643595","50.83663343223587","4.71453205802767","-0.3101140892003641","0.007000000000000006","0.0094","0.0046000000000000485","1244.4444444444443","0.0003682063533175977","0","0.0003682063533175977","0.0003682063533175977","67_68:0.05215040040615296","67_68:561.7777777777777","true"
"68","324.6279510642256","49.61795414628946","4.612752974171021","-0.31130677970698856","0.02734375","0.013671875","0.041015625","1244.4444444444443","0.0003161652739403919","0","0.0003161652739403919","0.0003161652739403919","68_69:0.023922922029918803;68_55:0.008893474687679204","68_69:561.7777777777777;68_55:561.7777777777777","true"
"69","245.51299199285904","48.51188330133938","4.551431368957431","-0.31213146441791095","0.021484375","0.021484375","0.021484375","1244.4444444444443","0.0002915194656130608","0","0.0002915194656130608","0.0002915194656130608","69_70:0.010650169865629","69_70:561.7777777777777","true"
"70","258.4915479436135","40.38147251898977","4.7119145752574605","-0.30937241746400446","0.0021999999999999797","0.0033999999999999586","0.001","1244.4444444444443","0.0003345626397788724","0","0.0003345626397788724","0.0003345626397788724","70_74:0.007408254726452124","70_74:561.7777777777777","true"
"71","332.3321894893496","43.798411315213826","4.545730057287191","-0.30894805896719","0.06109999999999993","0.06440000000000001","0.0578","1244.4444444444443","0.0003032100259502267","0","0.0003032100259502267","0.0003032100259502267","","","true"
"72","204.32742924677208","220.58125207476402","4.576603070874692","-0.31191901483735823","0.0035000000000000586","0.007000000000000006","0","1244.4444444444443","0.0010057293161470624","0","0.0010057293161470624","0.0010057293161470624","72_62:0.01182017455943185;72_81:0.04283280323307587","72_62:561.7777777777777;72_81:561.7777777777777","true"
"73","234.21248980367454","117.22012582800554","4.822092541246171","-0.3060243215183466","0.005299999999999971","0.006199999999999983","0.0044","1244.4444444444443","0.0001470081483036329","0","0.0001470081483036329","0.0001470081483036329","73_66:0.02366709100346301;73_85:0.012009947955133826","73_66:561.7777777777777;73_85:561.7777777777777","true"
"74","311.9843367995544","235.43511058684328","4.609666215103425","-0.31109191615982995","0.008099999999999996","0.008","0.008199999999999985","1244.4444444444443","0.00016605580856914555","0","0.00016605580856914555","0.00016605580856914555","","","true"
"75","213.65011716401276","158.27551132213108","4.787398922477169","-0.27824835792971114","0.02734375","0.033203125","0.021484375","1244.4444444444443","0.0006121872795555907","0","0.0006121872795555907","0.0006121872795555907","75_90:0.044945677472692847;75_76:0.009764393777834363","75_90:561.7777777777777;75_76:561.7777777777777","true"
"76","241.9440388553384","259.3965379878278","4.68334880014696","-0.31055697195489596","0.014599999999999946","0.022800000000000042","0.0064","1244.4444444444443","0.0001362014940609705","0","0.0001362014940609705","0.0001362014940609705","76_77:0.00889342222915121","76_77:561.7777777777777","true"
"77","315.6570912724799","366.7866229351044","4.576650469002322","-0.313094932281466","0.03960000000000008","0.042","0.03720000000000001","1244.4444444444443","0.0006028786224429833","0","0.0006028786224429833","0.0006028786224429833","77_78:0.014104093812851576;77_71:0.012053372115958805","77_78:561.7777777777777;77_71:561.7777777777777","true"
"78","196.35933604313144","216.98104034688583","4.483442130302915","-0.3136874752686043","0.007300000000000084","0.007800000000000029","0.0068","1244.4444444444443","0.00031883777333226084","0","0.00031883777333226084","0.00031883777333226084","","","true"
"79","199.6840503099305","79.4531792345374","4.570534569210935","-0.29525409443808415","0.09260000000000002","0.06220000000000003","0.123","1244.4444444444443","0.001451697441714479","0","0.001451697441714479","0.001451697441714479","79_78:0.012459097415315423","79_78:561.7777777777777","true"
"80","21.62939058323624","20.589923816724653","4.600505463452216","0","0.1733","0.24239999999999995","0.1042","1244.4444444444443","0.01962114431846286","0","0.01962114431846286","0.01962114431846286","80_79:0.0959813446014068;80_81:0.0849692323190745","80_79:561.7777777777777;80_81:561.7777777777777","true"
"81","171.7972236047146","67.53134546718057","4.4986541992502564","-0.31468638313879793","0.0043999999999999595","0.006000000000000005","0.0028","1244.4444444444443","0.0002354725145882232","0","0.0002354725145882232","0.0002354725145882232","","","true"
"82","325.2190934282298","101.55823121168068","4.602408068947306","-0.31724266528169737","0.00649999999999995","0.006000000000000005","0.007","1244.4444444444443","0.00029090625032395726","0","0.00029090625032395726","0.00029090625032395726","82_83:0.006785356898866085;82_81:0.008267138029074722","82_83:561.7777777777777;82_81:561.7777777777777","true"
"83","312.95226428386076","79.43928140040144","4.63631177037763","-0.3103580553605243","0.007400000000000073","0.0086","0.006199999999999983","1244.4444444444443","0.0002696651252218029","0","0.0002696651252218029","0.0002696651252218029","","","true"
"84","278.44495667840397","247.29649143124718","4.749611038232371","-0.3090225667525716","0.0035000000000000586","0.0033999999999999586","0.0036","1244.4444444444443","0.00012523118291672626","0","0.00012523118291672626","0.00012523118291672626","84_83:0.004326630020051847","84_83:561.7777777777777","true"
"85","320.81418016505796","249.9588301575337","4.58692654295288","-0.31154756735554556","0.0028000000000000247","0.0036","0.0020000000000000018","1244.4444444444443","0.0001462869700961269","0","0.0001462869700961269","0.0001462869700961269","85_86:0.03390532299938792;85_84:0.016902647565637974","85_86:561.7777777777777;85_84:561.7777777777777","true"
"86","275.0578971500322","156.62063164554596","4.7565115313153195","-0.32580689050206485","0.04249999999999998","0.038000000000000034","0.047","1244.4444444444443","0.0005368936434881791","0","0.0005368936434881791","0.0005368936434881791","","","true"
"87","165.83730513153796","32.06189791755531","4.725084852422083","0","0.019000000000000017","0.0232","0.0148","1244.4444444444443","0.0005589885543308481","0","0.0005589885543308481","0.0005589885543308481","87_93:0.025617113916869744;87_86:0.011461916061267258","87_93:561.7777777777777;87_86:561.7777777777777","true"
"88","244.0303791189146","37.090998851036645","4.566473810802962","-0.30765951332138847","0.011900000000000022","0.01319999999999999","0.0106","1244.4444444444443","0.00022357717277256836","0","0.00022357717277256836","0.00022357717277256836","88_89:0.015430983037663687;88_87:0.01813906738989035","88_89:561.7777777777777;88_87:561.7777777777777","true"
"89","258.1755736276672","236.9355308765106","4.796712329814703","-0.3069228576805572","0.04069999999999996","0.0374","0.04400000000000004","1244.4444444444443","0.0001333464750383631","0","0.0001333464750383631","0.0001333464750383631","89_74:0.013945226538693595","89_74:561.7777777777777","true"
"90","282.6326455071514","253.454671618238","4.704268755180642","-0.2860621408681651","0.0341796875","0.013671875","0.0546875","1244.4444444444443","0.00016753321677814417","0","0.00016753321677814417","0.00016753321677814417","","","true"
"91","315.504833132555","91.31437607214089","4.709007996487226","-0.3103704189122232","0.0030999999999999917","0.0048000000000000265","0.0014","1244.4444444444443","0.00021484836869468287","0","0.00021484836869468287","0.00021484836869468287","91_79:0.019644959579970173;91_98:0.009421980835468052","91_79:561.7777777777777;91_98:561.7777777777777","true"
"92","217.55938016928584","66.93654530911445","4.729511547902127","-0.3071779631697473","0.0017000000000000348","0.0023999999999999577","0.001","1244.4444444444443","0.0001617549434717286","0","0.0001617549434717286","0.0001617549434717286","92_83:0.00837318608222093;92_102:0.03105023917743374","92_83:561.7777777777777;92_102:561.7777777777777","true"
"93","82.92544254168054","89.16811014747637","4.678340858986707","0","0.008099999999999996","0.012399999999999967","0.0038","1244.4444444444443","0.0007240054105032784","0","0.0007240054105032784","0.0007240054105032784","93_106:0.01833732608037561","93_106:561.7777777777777","true"
"94","104.81236694595214","147.5712456210953","4.876119913198256","-0.3062539208243005","0.018999999999999906","0.0156","0.022399999999999975","1244.4444444444443","0.00022065817037016165","0","0.00022065817037016165","0.00022065817037016165","94_90:0.006307311234388435;94_95:0.014983535488774069","94_90:561.7777777777777;94_95:561.7777777777777","true"
"95","278.8536655285257","16.679735076320537","4.597072921860022","-0.3136135264289027","0.008499999999999952","0.010000000000000009","0.007","1244.4444444444443","0.0002444188742618989","0","0.0002444188742618989","0.0002444188742618989","","","true"
"96","195.73921133073574","160.5868053791622","4.733057509210281","0","0.0022999999999999687","0.0024","0.0021999999999999797","1244.4444444444443","0.00014022845258546184","0","0.00014022845258546184","0.00014022845258546184","96_95:0.010444829745472534;96_109:0.024906746960073445;96_97:0.01568028447777628","96_95:561.7777777777777;96_109:561.7777777777777;96_97:561.7777777777777","true"
"97","274.13946917499214","247.4487479332326","4.806807185403685","-0.3064623934471557","0.0032999999999999696","0.006199999999999983","0.0004","1244.4444444444443","0.0004245401579633576","0","0.0004245401579633576","0.0004245401579633576","97_98:0.025400275908018494","97_98:561.7777777777777","true"
"98","338.77941209513517","25.8149821805959","4.608980538222354","-0.31190721922188297","0.0030999999999999917","0.0048000000000000265","0.0014","1244.4444444444443","0.0003954530511026798","0","0.0003954530511026798","0.0003954530511026798","98_99:0.010466373534875645","98_99:561.7777777777777","true"
"99","218.9903939121622","83.33063108000663","4.574506922632345","-0.31063982957359515","0.0045999999999999375","0.008199999999999985","0.001","1244.4444444444443","0.0002557995950432365","0","0.0002557995950432365","0.0002557995950432365","","","true"
"100","231.26717558756235","62.860906108858195","4.647320462897239","-0.31098646352761034","0.0020000000000000018","0.0040000000000000036","0","1244.4444444444443","0.00023436991216985092","0","0.00023436991216985092","0.00023436991216985092","100_99:0.012327407425453546;100_110:0.009032497937437128","100_99:561.7777777777777;100_110:561.7777777777777","true"
