"Qubit","T1 (us)","T2 (us)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","RX error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","CZ error ","Gate time (ns)","Operational"
"78","95.77623333147251","131.134198769147","0.014599999999999946","0.016","0.01319999999999999","2100","0.00039250535201056997","0.00039250535201056997","0","0.00039250535201056997","0.00039250535201056997","78_69:0.0028955990021120037;78_89:0.002620992374305464","78_69:68;78_89:68","true"
"79","108.03741913808182","39.56384141564457","0.007000000000000006","0.0108","0.0031999999999999806","2100","0.00024334465312233632","0.00024334465312233632","0","0.00024334465312233632","0.00024334465312233632","79_93:0.0016512649376831667;79_73:0.0016354587933720965","79_93:68;79_73:68","true"
"80","104.05848514186944","42.60635606688266","0.009600000000000053","0.0146","0.0046000000000000485","2100","0.0003133134166547138","0.0003133134166547138","0","0.0003133134166547138","0.0003133134166547138","80_81:0.0021558370547672123","80_81:68","true"
"81","263.0524507003881","224.90317987354126","0.03710000000000002","0.0514","0.0228","2100","0.00023900928448063974","0.00023900928448063974","0","0.00023900928448063974","0.00023900928448063974","81_80:0.0021558370547672123;81_82:0.005874705734413704;81_76:0.0017603826109318932","81_80:68;81_82:68;81_76:68","true"
"82","69.03523976901913","18.626496143712387","0.04279999999999995","0.06120000000000003","0.0244","2100","0.0013881346355038922","0.0013881346355038922","0","0.0013881346355038922","0.0013881346355038922","82_81:0.005874705734413704;82_83:0.023812306877490724","82_81:68;82_83:68","true"
"83","267.87331650887165","204.8250193977879","0.0887","0.08460000000000001","0.0928","2100","0.0003881404965957421","0.0003881404965957421","0","0.0003881404965957421","0.0003881404965957421","83_96:0.0017147516353111514;83_82:0.023812306877490724;83_84:0.002931231317882893","83_96:68;83_82:68;83_84:68","true"
"84","150.94660409863462","209.00609379396056","0.0048000000000000265","0.009000000000000008","0.0006","2100","0.0005076098798575763","0.0005076098798575763","0","0.0005076098798575763","0.0005076098798575763","84_83:0.002931231317882893;84_85:0.0035299086928966827","84_83:68;84_85:68","true"
"85","196.69874821295502","80.05244510804162","0.013600000000000056","0.01739999999999997","0.0098","2100","0.0002451500579250561","0.0002451500579250561","0","0.0002451500579250561","0.0002451500579250561","85_77:0.0028169000408818923;85_86:0.0022149834845253957;85_84:0.0035299086928966827","85_77:68;85_86:68;85_84:68","true"
"86","63.23867563473239","72.59490524782116","0.0042999999999999705","0.007399999999999962","0.0012","2100","0.00028093135972710303","0.00028093135972710303","0","0.00028093135972710303","0.00028093135972710303","86_85:0.0022149834845253957;86_87:0.002133001662489392","86_85:68;86_87:68","true"
"87","159.88527173629203","112.62051578709351","0.07220000000000004","0.0748","0.0696","2100","0.0003719092748835722","0.0003719092748835722","0","0.0003719092748835722","0.0003719092748835722","87_86:0.002133001662489392;87_88:0.002902831323642663;87_97:0.001628441317303858","87_86:68;87_88:68;87_97:68","true"
"88","289.09347416591186","245.54239953833408","0.015800000000000036","0.0218","0.009800000000000031","2100","0.0003049064680868572","0.0003049064680868572","0","0.0003049064680868572","0.0003049064680868572","88_87:0.002902831323642663;88_89:0.002059783230212331","88_87:68;88_89:68","true"
